date,visitors,pageviews,visits,views_per_visit,bounce_rate,visit_duration
2025-11-06 01:00:00,0,0,0,0.0,,
2025-11-06 02:00:00,1,1,1,1.0,100,0
2025-11-06 03:00:00,0,0,0,0.0,,
2025-11-06 04:00:00,0,0,0,0.0,,
2025-11-06 05:00:00,1,1,1,1.0,100,0
2025-11-06 06:00:00,0,0,0,0.0,,
2025-11-06 07:00:00,1,1,1,1.0,100,0
2025-11-06 08:00:00,1,3,0,0.0,,
2025-11-06 09:00:00,4,5,4,2.0,50,687
2025-11-06 10:00:00,4,9,5,1.8,60,41
2025-11-06 11:00:00,5,11,5,2.2,40,38
2025-11-06 12:00:00,7,20,8,2.5,62,26
2025-11-06 13:00:00,1,1,1,1.0,100,0
2025-11-06 14:00:00,3,4,3,1.33,67,240
2025-11-06 15:00:00,5,8,5,1.6,60,58
2025-11-06 16:00:00,1,1,1,1.0,100,0
2025-11-06 17:00:00,3,7,3,2.33,67,188
2025-11-06 18:00:00,2,2,2,1.0,100,0
2025-11-06 19:00:00,0,0,0,0.0,,
2025-11-06 20:00:00,1,1,1,1.0,100,0
2025-11-06 21:00:00,0,0,0,0.0,,
2025-11-06 22:00:00,1,1,1,1.0,100,0
2025-11-06 23:00:00,0,0,0,0.0,,
2025-11-07 00:00:00,0,0,0,0.0,,
