name,visitors,bounce_rate,visit_duration
Direct / None,79,61,253
Google,44,76,94
Bing,27,70,63
statics.teams.cdn.office.net,4,50,144
DuckDuckGo,4,100,0
perplexity.ai,3,50,198
chatgpt.com,2,50,30
stromdao.de,2,50,230
GitHub,2,100,0
Qwant,2,50,8
Ecosia,1,100,0
training.stromhaltig.de,1,100,0
