date,visitors,pageviews,visits,views_per_visit,bounce_rate,visit_duration
2025-11-16 00:00:00,1,1,1,1.0,100,0
2025-11-16 01:00:00,0,0,0,0.0,,
2025-11-16 02:00:00,1,1,1,1.0,100,0
2025-11-16 03:00:00,0,0,0,0.0,,
2025-11-16 04:00:00,0,0,0,0.0,,
2025-11-16 05:00:00,2,7,2,3.5,50,6
2025-11-16 06:00:00,0,0,0,0.0,,
2025-11-16 07:00:00,0,0,0,0.0,,
2025-11-16 08:00:00,2,2,2,1.0,100,0
2025-11-16 09:00:00,1,2,1,2.0,0,33
2025-11-16 10:00:00,0,0,0,0.0,,
2025-11-16 11:00:00,2,2,2,1.0,100,0
2025-11-16 12:00:00,0,0,0,0.0,,
2025-11-16 13:00:00,0,0,0,0.0,,
2025-11-16 14:00:00,0,0,0,0.0,,
2025-11-16 15:00:00,0,0,0,0.0,,
2025-11-16 16:00:00,1,7,1,7.0,0,571
2025-11-16 17:00:00,2,3,2,1.5,50,12
2025-11-16 18:00:00,0,0,0,0.0,,
2025-11-16 19:00:00,0,0,0,0.0,,
2025-11-16 20:00:00,0,0,0,0.0,,
2025-11-16 21:00:00,2,2,2,1.0,100,0
2025-11-16 22:00:00,0,0,0,0.0,,
2025-11-16 23:00:00,1,1,1,1.0,100,0
2025-11-17 00:00:00,0,0,0,0.0,,
2025-11-17 01:00:00,0,0,0,0.0,,
2025-11-17 02:00:00,0,0,0,0.0,,
2025-11-17 03:00:00,0,0,0,0.0,,
2025-11-17 04:00:00,1,1,1,1.0,100,0
2025-11-17 05:00:00,1,1,1,1.0,100,0
2025-11-17 06:00:00,0,0,0,0.0,,
2025-11-17 07:00:00,0,0,0,0.0,,
2025-11-17 08:00:00,9,14,9,1.56,89,10
2025-11-17 09:00:00,6,6,6,1.0,100,0
2025-11-17 10:00:00,3,3,3,1.0,100,0
2025-11-17 11:00:00,7,11,7,1.57,57,193
2025-11-17 12:00:00,3,4,3,1.33,67,561
2025-11-17 13:00:00,5,8,5,1.6,60,232
2025-11-17 14:00:00,1,1,1,1.0,100,0
2025-11-17 15:00:00,2,2,2,1.0,100,0
2025-11-17 16:00:00,4,4,3,1.0,100,0
2025-11-17 17:00:00,6,6,6,1.17,83,210
2025-11-17 18:00:00,3,3,3,1.0,100,0
2025-11-17 19:00:00,0,0,0,0.0,,
2025-11-17 20:00:00,2,5,2,2.5,50,10
2025-11-17 21:00:00,2,2,2,1.0,100,0
2025-11-17 22:00:00,3,3,3,1.0,100,0
2025-11-17 23:00:00,3,9,3,3.0,33,370
2025-11-18 00:00:00,0,0,0,0.0,,
2025-11-18 01:00:00,1,4,1,4.0,0,18
2025-11-18 02:00:00,1,5,1,5.0,0,61
2025-11-18 03:00:00,0,0,0,0.0,,
2025-11-18 04:00:00,0,0,0,0.0,,
2025-11-18 05:00:00,2,2,2,1.0,100,0
2025-11-18 06:00:00,0,0,0,0.0,,
2025-11-18 07:00:00,3,3,3,1.0,100,0
2025-11-18 08:00:00,3,3,3,1.0,100,0
2025-11-18 09:00:00,2,11,2,5.5,50,80
2025-11-18 10:00:00,5,9,5,1.8,40,91
2025-11-18 11:00:00,4,13,4,3.25,75,106
2025-11-18 12:00:00,3,4,3,1.33,67,531
2025-11-18 13:00:00,3,3,3,1.0,100,0
2025-11-18 14:00:00,1,1,1,1.0,100,0
2025-11-18 15:00:00,4,8,3,2.33,33,343
2025-11-18 16:00:00,4,9,4,2.5,25,256
2025-11-18 17:00:00,1,1,1,1.0,100,0
2025-11-18 18:00:00,1,1,1,1.0,100,0
2025-11-18 19:00:00,2,2,2,1.0,100,0
2025-11-18 20:00:00,3,8,3,2.67,67,11
2025-11-18 21:00:00,0,0,0,0.0,,
2025-11-18 22:00:00,0,0,0,0.0,,
2025-11-18 23:00:00,1,1,1,1.0,100,0
2025-11-19 00:00:00,0,0,0,0.0,,
2025-11-19 01:00:00,0,0,0,0.0,,
2025-11-19 02:00:00,0,0,0,0.0,,
2025-11-19 03:00:00,0,0,0,0.0,,
2025-11-19 04:00:00,1,1,1,1.0,100,0
2025-11-19 05:00:00,1,1,1,1.0,100,0
2025-11-19 06:00:00,0,0,0,0.0,,
2025-11-19 07:00:00,0,0,0,0.0,,
2025-11-19 08:00:00,3,6,3,2.0,33,79
2025-11-19 09:00:00,10,12,10,1.2,90,14
2025-11-19 10:00:00,4,4,4,1.0,100,0
2025-11-19 11:00:00,6,12,6,2.0,67,16
2025-11-19 12:00:00,5,6,5,1.2,80,79
2025-11-19 13:00:00,3,8,3,2.67,67,11
2025-11-19 14:00:00,4,9,4,2.25,75,4
2025-11-19 15:00:00,5,7,5,1.4,80,7
2025-11-19 16:00:00,5,10,4,1.25,75,14
2025-11-19 17:00:00,1,4,1,6.0,0,347
2025-11-19 18:00:00,3,6,3,3.0,67,775
2025-11-19 19:00:00,5,12,4,1.0,100,0
2025-11-19 20:00:00,3,7,3,5.0,67,1677
2025-11-19 21:00:00,2,3,2,1.5,50,128
2025-11-19 22:00:00,5,45,7,6.43,57,96
2025-11-19 23:00:00,2,2,2,1.0,100,0
2025-11-20 00:00:00,0,0,0,0.0,,
2025-11-20 01:00:00,0,0,0,0.0,,
2025-11-20 02:00:00,0,0,0,0.0,,
2025-11-20 03:00:00,0,0,0,0.0,,
2025-11-20 04:00:00,0,0,0,0.0,,
2025-11-20 05:00:00,1,1,1,1.0,100,0
2025-11-20 06:00:00,0,0,0,0.0,,
2025-11-20 07:00:00,3,12,2,4.5,50,425
2025-11-20 08:00:00,5,9,5,2.4,80,264
2025-11-20 09:00:00,1,1,1,1.0,100,0
2025-11-20 10:00:00,5,9,5,1.8,80,15
2025-11-20 11:00:00,9,21,9,2.33,67,115
2025-11-20 12:00:00,7,7,7,1.0,86,101
2025-11-20 13:00:00,4,4,4,1.0,100,0
2025-11-20 14:00:00,3,3,3,1.0,67,0
2025-11-20 15:00:00,3,8,3,2.67,67,4
2025-11-20 16:00:00,2,4,2,2.0,50,270
2025-11-20 17:00:00,6,10,7,1.43,86,30
2025-11-20 18:00:00,2,9,2,4.5,50,72
2025-11-20 19:00:00,4,3,4,0.75,100,0
2025-11-20 20:00:00,1,1,1,1.0,0,4
2025-11-20 21:00:00,2,2,2,1.0,100,0
2025-11-20 22:00:00,1,13,0,0.0,,
2025-11-20 23:00:00,3,9,3,5.67,33,1312
2025-11-21 00:00:00,1,10,1,15.0,0,1516
2025-11-21 01:00:00,0,0,0,0.0,,
2025-11-21 02:00:00,1,1,1,1.0,100,0
2025-11-21 03:00:00,0,0,0,0.0,,
2025-11-21 04:00:00,0,0,0,0.0,,
2025-11-21 05:00:00,1,1,1,1.0,0,1
2025-11-21 06:00:00,0,0,0,0.0,,
2025-11-21 07:00:00,0,0,0,0.0,,
2025-11-21 08:00:00,2,7,2,3.5,50,117
2025-11-21 09:00:00,3,7,3,2.33,67,4
2025-11-21 10:00:00,2,3,1,1.0,100,0
2025-11-21 11:00:00,6,14,6,2.67,83,38
2025-11-21 12:00:00,0,0,0,0.0,,
2025-11-21 13:00:00,2,17,2,8.5,50,194
2025-11-21 14:00:00,4,5,4,1.25,50,30
2025-11-21 15:00:00,2,5,2,2.5,50,30
2025-11-21 16:00:00,1,4,1,4.0,0,6
2025-11-21 17:00:00,1,1,1,1.0,100,0
2025-11-21 18:00:00,0,0,0,0.0,,
2025-11-21 19:00:00,0,0,0,0.0,,
2025-11-21 20:00:00,2,1,2,0.5,100,0
2025-11-21 21:00:00,0,0,0,0.0,,
2025-11-21 22:00:00,0,0,0,0.0,,
2025-11-21 23:00:00,1,1,1,1.0,100,0
2025-11-22 00:00:00,1,3,1,3.0,0,736
