Datum,Klicks,Impressionen,CTR,Position
2025-11-20,15,618,2.43%,7.41
2025-11-19,24,718,3.34%,7.43
2025-11-18,25,595,4.2%,8.63
2025-11-17,23,706,3.26%,8.91
2025-11-16,7,177,3.95%,10.14
2025-11-15,1,122,0.82%,15.7
2025-11-14,11,414,2.66%,9.82
