name,visitors,bounce_rate,visit_duration
Direct / None,103,64,180
Google,85,84,58
Bing,41,81,83
chatgpt.com,7,88,165
stromdao.de,6,83,10
Ecosia,5,80,27
forum.inexogy.com,3,100,0
DuckDuckGo,3,100,0
Yahoo!,2,100,0
GitHub,2,0,32
perplexity.ai,2,100,0
statics.teams.cdn.office.net,1,0,424
app.langdock.com,1,0,395
kagi.com,1,0,736
