name,visitors,bounce_rate,visit_duration
Direct / None,90,74,81
Google,76,73,170
Bing,39,83,58
forum.inexogy.com,6,56,97
DuckDuckGo,5,100,0
stromdao.de,3,75,20
Ecosia,3,100,0
perplexity.ai,2,100,0
chatgpt.com,2,100,0
statics.teams.cdn.office.net,1,100,0
