Datum,Klicks,Impressionen,CTR,Position
2025-11-12,14,593,2.36%,7.56
2025-11-11,12,588,2.04%,7.71
2025-11-10,22,617,3.57%,8.23
2025-11-09,7,215,3.26%,10.61
2025-11-08,5,143,3.5%,15.38
2025-11-07,8,371,2.16%,8.39
2025-11-06,18,572,3.15%,8.65
